SEMANA Nº01   PROVISIONAL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
SEMANA Nº01   PROVISIONAL,,,,,,,,,,,,
Lunes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
29,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIANE ET BARBE BLEUE,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico CARMEN,,,,,,,18.30-19.30h,Vocalización CORO,,
,14.30-15.00,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    12/16  REP. A,,,,,,,,,,
Dic. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Martes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
30,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico CARMEN,,,,,,,18.30-19.30h,Vocalización CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,,,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    13/16  REP. B,,,,,,,,,,
Dic. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Miércoles,00.00-07.00h,Cambio a EVENTO ,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
31,EVENTO EXCELENTIA                                                                                                 ESCENARIO COMPLETO,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,,
,,,,,,,,,,,,
Dic. 2025,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Jueves,00.00-07.00h,Cambio a EVENTO ,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
1,EVENTO: DISPONIBLE                                                                                                      ESCENARIO COMPLETO,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,SALA DE CORO,,,
,,,,,,,,,,,,
Ene. 2026,,,,,,,,,,,,
,a 00.00h,Desmontaje EVENTO,,,,,,,,,,
Viernes,00.00-07.00h,Desmontaje EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
2,08.30-10.00h,Cambio a CARMEN,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Cambio a CARMEN,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-21.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    14/16  REP. A,,,,,,,,,,
,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
Sábado,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                              ARIADNA Y BARBAZUL,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
3,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Dossier Técnico CARMEN,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,18.30-19.30h,Vocalización CORO,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,16.00-17.00h,Montaje Orquesta,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,16.00-17.00h,Preparación Función,,,,,,,,,,
,17.00-17.45h,Ensayo Técnico CARMEN ,,,,,,,,,,
,17.45-18.30h,Preparación Función + Limpieza,,,,,,,,,,
,18.30-19.00h,PAUSA TECNICA,,,,,,,,,,
,19.30h,CARMEN    15/16  REP. B,,,,,,,,,,
,,,,,,,,,,,,
,a 23.30h,Cambio a Domingo de Camara,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                   ARIADNA Y BARBAZUL,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
4,08.30-10.00h,Dossier Técnico CARMEN,,,,,,,,,,
,08.30-14.30h,Montaje -16  ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Dossier Técnico CARMEN,,,,,,,17.00-18.00h,Vocalización CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación Función,,,,,,,,,,
,15.30-16.00h,Montaje Orquesta,,,,,,,,,,
,15.30-17.30h,Preparación Función + Limpieza,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,18.00h,CARMEN    16/16  REP. A,,,,,,,,,,
,,,,,,,,,,,,
,a 00.00h,Cambio a EVENTO,,,,,,,,,,
SEMANA Nº02   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,00.00-07.00h,Cambio a EVENTO,,,,,,,,,,
,07.00-08.00h,Cambio a EVENTO,,,,,,,,,,
,CONCIERTO AYUNTAMIENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ESCENARIO COMPLETO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Foso Pequeño + Concha Acustica + Orquesta en Escenario,,,,11.00-14.00h,E.Piano                              ARIADNE Y BARBAZUL,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,CABALGATA REYES,
,,,,,,,,,SALA DE CORO,,,
,,,,,,,,,,,,
,15.30-18.00h,Desmontaje CARMEN,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,16.00-19.00h,E.Piano                                   ARIADNA Y BARBAZUL,,,,,,
,18.30-22.00h,Desmontaje CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Desmontaje CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.15h,Preparación Actividad,,,,,Montaje ENEMIGO DEL PUEBLO,,SALA DE ORQUESTA,,,
6,08.15-10.00h,Desmontaje CARMEN,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Desmontaje CARMEN,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Desmontaje CARMEN,,,,,,,,,,
,15.30-18.00h,Desmontaje CARMEN,,,,,,,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Desmontaje CARMEN,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Desmontaje CARMEN,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.15h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                       ARIADNE Y BARBAZUL,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
7,08.15-10.00h,Montaje Luces ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje Luces ARIADNA Y BARBAZUL,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,11.00-14.00h,E. Musical CORO,,
,15.00-16.00h,Montaje Luces ARIADNA Y BARBAZUL,,,,,,,,,,
,15.30-18.00h,Montaje ARIADNA Y BARBAZUL,,,16.00-19.00h,E.Piano                                                             ARIADNE Y BARBAZUL,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Montaje ARIADNA Y BARBAZUL,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Montaje ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.15h,Preparación Actividad,,,11.00-14.00h,E.Piano                                                                                   ARIADNE Y BARBAZUL,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
8,08.15-10.00h,Montaje  ARIADNA Y BARBAZUL,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje  ARIADNA Y BARBAZUL,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,10.00-14.00h ,AUDICIONES ARTISTICAS,,
,15.00-16.00h,Montaje  ARIADNA Y BARBAZUL,,,,,,,,,,
,15.30-18.00h,Montaje ARIADNA Y BARBAZUL,,,16.00-19.00h,E.Piano                                            ARIADNE Y BARBAZUL                           ,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Montaje ARIADNA Y BARBAZUL,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Montaje ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
,08.00-08.15h,Preparación Actividad,,,Desmontaje                                            ARIADNA Y BARBAZUL                                                            Montaje                                                     SUEÑO DE UNA NOCHE DE VERANO,,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
9,08.15-10.00h,Montaje ARIADNA Y BARBAZUL,,,,,,,11.00-14.00h,L.O. Cto. IV Ciclo OSM (1),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,16.00-19.00h,L.O. Cto. IV Ciclo OSM (2),,
,10.00-10.30h,VISITA GENERAL,,,,,,,,,,
,10.30-14.30h,Montaje ARIADNA Y BARBAZUL,,,,,,,SALA DE CORO,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,11.00-14.00h,E. Musical CORO,,
,15.00-16.00h,Prep. Grab.Técnica ARIADNA Y BARBAZUL,,,,,,,16.00-19.00h,E. Musical CORO,,
,15.30-18.00h,Grabación Técnica ARIADNA Y BARBAZUL,,,,,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,18.00-18.30h,PAUSA TECNICA,,,,,,,,,,
,18.30-22.00h,Grabación Técnica ARIADNA Y BARBAZUL,,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Grabación Técnica ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Sábado,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                            ARIADNA Y BARBAZUL                                                            Montaje                                                     SUEÑO DE UNA NOCHE DE VERANO,,,,SALA DE ORQUESTA,,,
10,08.30-10.00h,Direccion Luces ARIADNA Y BARBAZUL,,,,,,,11.00-14.00h,L.O. Cto. IV Ciclo OSM (3),,
,08.30-14.30h,Montaje -16 ENEMIGO DEL PUEBLO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Direccion Luces ARIADNA Y BARBAZUL,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,,,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ARIADNA Y BARBAZUL (1),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Ajustes Técnicos ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Domingo,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                                  ARIADNA Y BARBAZUL                                                            Montaje                                                                  SUEÑO DE UNA NOCHE DE VERANO,,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
11,08.30-10.00h,Direccion Luces ARIADNA Y BARBAZUL,,,,,,,,,,
,08.30-14.30h,Montaje -16 ENEMIGO DEL PUEBLO,,,,,,,,,,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,Direccion Luces ARIADNA Y BARBAZUL,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ARIADNA Y BARBAZUL (2),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Ajustes Técnicos ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
SEMANA Nº03   PROVISIONAL,,,,,,,,,,,,
FECHA,ESCENARIO,,SALA GAYARRE,,S.E.P.E,,SALA BALLET,,SALA DE ORQUESTA                                       SALA DE CORO,,OTRAS SALAS,
Lunes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje                                                   ARIADNA Y BARBAZUL                                                            Montaje                                                SUEÑO DE UNA NOCHE DE VERANO,,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,AUDITORIO NACIONAL,
12,08.30-10.00h,E.Luces ARIADNA Y BARBAZUL,,,,,,,,,17.30-18.30h,E. General Cto.Auditorio
,08.30-14.30h,Montaje -16 ENEMIGO DEL PUEBLO,,,,,,,,,19.30h,Concierto Auditorio IV                       
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,," Mº R. Forés Veses, OSM"
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ARIADNA Y BARBAZUL,,,,,,,,,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ARIADNA Y BARBAZUL (3),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Ajustes Técnicos ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Martes,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje ARIADNA Y BARBAZUL                                                            Montaje SUEÑO DE UNA NOCHE DE VERANO,,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
13,08.30-10.00h,E.Luces ARIADNA Y BARBAZUL,,,,,,,11.00-14.00h,L.O. ARIADNA Y BARBAZUL (1),,
,08.30-14.30h,Montaje -16 ENEMIGO DEL PUEBLO,,,,,,,16.00-19.00h,L.O. ARIADNA Y BARBAZUL (2),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ARIADNA Y BARBAZUL,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ARIADNA Y BARBAZUL (4),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Ajustes Técnicos ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Miércoles,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,Desmontaje ARIADNA Y BARBAZUL                                                            Montaje SUEÑO DE UNA NOCHE DE VERANO,,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
14,08.30-10.00h,E.Luces ARIADNA Y BARBAZUL,,,,,,,11.00-14.00h,L.O. ARIADNA Y BARBAZUL (3),,
,08.30-14.30h,Montaje -16 ENEMIGO DEL PUEBLO,,,,,,,16.00-19.00h,L.O. ARIADNA Y BARBAZUL (4),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ARIADNA Y BARBAZUL,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,,,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,16.30-17.00h,Limpieza,19.00-21.00h,CURSO:,,,,,,,,
,17.00-22.00h,E.Piano ARIADNA Y BARBAZUL (5),,Ópera & Shakespeare,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Ajustes Técnicos ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Jueves,,,,,,,,,,,,
,08.00-08.30h,Preparación Actividad,,,11.00-14.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,11.00-14.00h,E.Piano                                       ENEMIGO DEL PUEBLO,SALA DE ORQUESTA,,,
15,08.30-10.00h,E.Luces ARIADNA Y BARBAZUL,,,,,,,11.00-14.00h,L.O. ARIADNA Y BARBAZUL (5),,
,08.30-14.30h,Montaje -16 ENEMIGO DEL PUEBLO,,,,,,,16.00-19.00h,L.O. ARIADNA Y BARBAZUL (6),,
,10.00-10.25h,PAUSA TECNICA,,,,,,,,,,
,10.00-10.30h,VISITA GENERAL,,,,,,,SALA DE CORO,,,
,10.30-14.30h,E.Luces ARIADNA Y BARBAZUL,,,,,,,13.00-15.00h,E. Musical CORO,,
,14.30-15.00h,PAUSA TECNICA,,,,,,,,,,
,15.00-16.00h,Preparación ensayo,,,,,,,,,,
,16.00-16.30h,Preparación ensayo,,,16.00-19.00h,E.Piano                                     SUEÑO DE UNA NOCHE DE VERANO,16.00-19.00h,E.Piano                                       ENEMIGO DEL PUEBLO,,,,
,16.30-17.00h,Limpieza,,,,,,,,,,
,17.00-22.00h,E.Piano ARIADNA Y BARBAZUL (6),,,,,,,,,,
,22.00-22.30h,PAUSA TECNICA,,,,,,,,,,
Ene. 2026,22.30-23.15h,Ajustes Técnicos ARIADNA Y BARBAZUL,,,,,,,,,,
,23.15-23.30h,Recogida y finalización actividad,,,,,,,,,,
Viernes,,,,,,,,,,,,
